,positiveCount,NegativeCount,SentencePolarity,AltSentimentCount
257,0,0,0.0,0
258,0,0,0.0,0
259,0,1,-0.2,1
260,1,0,1.0,1
261,1,1,-0.7,1
262,0,0,0.0,0
263,1,0,0.5,1
264,1,0,0.1,0
265,0,1,-1.0,1
266,4,0,0.4625,1
267,1,0,0.10000000000000002,0
268,0,1,0.0,1
269,0,0,0.0,0
270,1,0,0.25,1
271,1,0,0.0,0
272,1,0,1.0,0
273,1,0,0.7,0
274,0,0,0.0,0
275,1,0,0.6,0
276,0,0,0.0,0
277,0,0,0.0,0
278,0,0,0.0,0
279,0,0,0.0,0
280,0,0,0.0,0
281,2,0,0.7,0
282,1,0,0.2857142857142857,0
283,0,0,0.0,0
284,3,2,-0.002857142857142836,2
285,1,0,0.8,0
286,0,1,-1.0,1
287,1,0,0.8,1
288,1,0,0.2857142857142857,0
289,0,0,0.0,0
290,3,0,0.3833333333333333,0
291,0,0,0.0,0
292,1,1,-0.26666666666666666,2
293,1,0,0.3,0
294,0,0,0.0,0
295,1,1,0.012500000000000039,2
296,0,1,-0.20277777777777778,1
297,2,0,0.4,1
298,0,0,0.0,0
299,2,0,0.43,0
300,1,0,0.875,0
301,0,0,0.0,0
302,1,0,0.5,0
303,1,1,-0.33333333333333337,1
304,0,0,0.0,0
305,3,0,0.6666666666666666,1
306,1,0,0.5,0
307,2,0,0.35,0
308,2,0,0.30000000000000004,0
309,1,0,0.1,0
310,1,0,0.21428571428571427,0
311,1,0,0.4464285714285714,0
312,0,0,0.0,0
313,1,0,1.0,0
314,0,1,-0.3125,1
315,2,0,0.2,1
316,2,0,0.45,0
317,0,0,0.0,0
318,0,0,0.0,0
319,1,0,0.2857142857142857,0
320,1,0,0.5,0
321,0,0,0.0,0
322,1,1,-0.3,1
323,0,1,-0.08333333333333333,0
324,0,0,0.0,0
325,0,0,0.0,0
326,0,0,0.0,0
327,0,0,0.0,0
328,1,0,0.25,1
329,1,0,0.5,0
330,0,0,0.0,0
331,0,1,-0.05,1
332,1,0,0.20833333333333334,1
333,1,0,0.85,0
334,0,0,0.0,0
335,0,0,0.0,0
336,1,0,0.16666666666666666,0
337,1,0,0.4,0
338,0,0,0.0,0
339,0,0,0.0,0
340,2,0,0.25,0
341,0,0,0.0,0
342,1,1,-0.049999999999999996,2
343,1,0,0.225,0
344,0,1,-0.3,1
345,1,0,0.0,1
346,0,0,0.0,0
347,1,1,0.09375,2
348,0,0,-0.07777777777777779,0
349,0,0,0.0,0
350,1,0,0.25,0
351,3,1,0.13999999999999999,2
352,0,1,-0.1875,1
353,0,0,0.0,0
354,1,0,0.125,1
355,1,0,1.0,0
356,1,0,0.1,0
357,1,3,-0.44000000000000006,3
358,0,0,0.0,0
359,0,0,0.0,0
360,1,0,0.5,1
361,0,0,0.0,0
362,0,0,0.0,0
363,0,0,0.0,0
364,2,1,0.14444444444444443,2
365,1,0,0.5,0
366,4,1,0.2341931216931217,2
367,2,0,0.5,0
368,0,0,0.0,0
369,1,0,0.3,0
370,0,0,0.0,0
371,0,0,0.0,0
372,0,0,0.0,0
373,0,0,0.0,0
374,0,0,0.0,0
375,2,0,0.26,0
376,2,1,0.3333333333333333,2
377,2,0,0.30000000000000004,0
378,0,0,0.0,0
379,0,2,-0.09375,1
380,1,0,0.5,1
381,0,1,-0.5,1
382,0,0,0.0,0
383,2,1,0.39285714285714285,1
384,1,1,0.02777777777777778,1
385,1,1,-0.15000000000000002,1
386,0,0,0.0,0
387,1,0,0.5,0
388,0,0,0.0,0
389,1,0,0.7,0
390,0,1,-0.05,1
391,1,0,0.16666666666666666,1
392,0,0,0.0,0
393,1,0,0.05,0
394,1,2,-0.0725,1
395,1,0,0.8,1
396,1,1,0.20416666666666664,1
397,0,0,0.0,0
